subjectId,subjectCond,chapter,level,playCount,playTime,deaths,badgesEarned,anglesUnlocked,steps,badgeDecision
3007,level badges,2,3,0,25,0,0,3,1,NULL
3007,level badges,2,2,0,33,0,0,2,3,NULL
3007,level badges,2,5,5,101,5,0,5,0,NULL
3007,level badges,2,4,0,66,0,1,4,7,OPT-IN
3001,level badges,1,1,0,8,0,0,0,1,NULL
3001,level badges,1,3,0,13,0,0,0,5,NULL
3001,level badges,1,2,0,9,0,0,0,2,NULL
3001,level badges,1,5,0,38,0,0,2,3,NULL
3001,level badges,1,4,0,14,0,0,1,3,NULL
3001,level badges,1,7,0,72,0,0,4,8,NULL
3001,level badges,1,6,1,35,1,0,4,3,NULL
3001,level badges,1,9,1,83,1,0,11,5,NULL
3001,level badges,1,8,2,71,2,1,10,7,OPT-IN
3001,level badges,3,1,0,13,0,0,1,1,NULL
3001,level badges,3,3,0,0,0,0,6,14,OPT-IN
3001,level badges,3,2,0,18,0,0,3,1,NULL
3001,level badges,2,1,0,20,0,0,1,1,NULL
3001,level badges,2,3,0,29,0,0,2,4,NULL
3001,level badges,2,2,0,21,0,0,2,5,NULL
3001,level badges,2,5,0,32,0,0,2,3,NULL
3001,level badges,2,4,1,41,1,1,4,6,OPT-IN
3001,level badges,2,7,1,78,1,1,10,5,OPT-IN
3001,level badges,2,6,1,61,1,1,8,4,OPT-IN
3223,level badges,1,1,3,38,0,0,0,4,NULL
3223,level badges,1,3,4,47,1,0,0,24,NULL
3223,level badges,1,2,3,39,0,0,0,18,NULL
3223,level badges,1,5,6,113,3,0,11,26,NULL
3223,level badges,1,4,3,44,0,0,4,20,NULL
3223,level badges,1,7,8,192,7,0,28,28,NULL
3223,level badges,1,6,8,123,6,0,14,26,NULL
3223,level badges,1,9,0,28,0,0,4,5,NULL
3223,level badges,1,8,2,85,2,1,8,14,OPT-IN
3223,level badges,2,1,2,95,0,0,3,13,NULL
3223,level badges,2,3,2,64,1,0,9,30,NULL
3223,level badges,2,2,8,427,4,0,10,33,NULL
3223,level badges,2,5,0,49,0,0,8,19,NULL
3223,level badges,2,4,7,121,7,0,12,7,OPT-IN
3223,level badges,2,7,0,0,0,0,0,0,NULL
3223,level badges,2,6,1,50,1,1,8,10,OPT-IN
3003,level badges,1,1,0,8,0,0,0,3,NULL
3003,level badges,1,3,0,12,0,0,0,2,NULL
3003,level badges,1,2,0,10,0,0,0,1,NULL
3003,level badges,1,5,0,49,0,0,2,3,NULL
3003,level badges,1,4,0,15,0,0,1,3,NULL
3003,level badges,1,7,0,30,0,0,3,1,NULL
3003,level badges,1,6,0,19,0,0,3,1,NULL
3003,level badges,1,9,0,25,0,0,3,1,NULL
3003,level badges,1,8,1,208,0,1,6,4,OPT-IN
3003,level badges,2,1,0,30,0,0,1,1,NULL
3003,level badges,2,3,0,16,0,0,3,2,NULL
3003,level badges,2,2,5,223,2,0,7,8,NULL
3003,level badges,2,5,2,104,1,0,9,9,NULL
3003,level badges,2,4,4,92,3,1,12,10,OPT-IN
3003,level badges,2,7,3,115,2,0,8,6,OPT-IN
3003,level badges,2,6,4,337,3,1,29,14,OPT-IN
3002,level badges,1,1,0,10,0,0,0,2,NULL
3002,level badges,1,3,1,27,1,0,0,9,NULL
3002,level badges,1,2,0,12,0,0,0,7,NULL
3002,level badges,1,5,1,48,1,0,4,9,NULL
3002,level badges,1,4,0,14,0,0,2,3,NULL
3002,level badges,1,7,6,346,7,0,20,32,NULL
3002,level badges,1,6,2,48,3,0,6,6,NULL
3002,level badges,1,9,1,16,1,0,2,0,NULL
3002,level badges,1,8,2,100,3,0,13,5,OPT-OUT
3222,no badges,1,1,2,27,0,0,0,3,NULL
3222,no badges,1,3,2,42,0,0,0,14,NULL
3222,no badges,1,2,2,28,0,0,0,4,NULL
3222,no badges,1,5,6,120,4,0,10,10,NULL
3222,no badges,1,4,2,42,0,0,3,7,NULL
3222,no badges,1,7,6,237,6,0,15,11,NULL
3222,no badges,1,6,8,107,6,0,9,3,NULL
3222,no badges,1,9,0,31,0,0,3,3,NULL
3222,no badges,1,8,0,50,0,0,3,6,NULL
3222,no badges,3,1,0,12,0,0,1,1,NULL
3222,no badges,3,2,0,0,0,0,4,1,NULL
3222,no badges,2,1,0,22,0,0,1,1,NULL
3222,no badges,2,3,0,23,0,0,2,3,NULL
3222,no badges,2,2,4,217,3,0,8,22,NULL
3222,no badges,2,5,0,32,0,0,2,2,NULL
3222,no badges,2,4,1,78,1,0,9,5,NULL
3222,no badges,2,7,1,92,1,0,14,6,NULL
3222,no badges,2,6,3,129,3,0,12,4,NULL
3009,level badges,1,1,0,18,0,0,0,1,NULL
3009,level badges,1,3,0,21,0,0,0,6,NULL
3009,level badges,1,2,0,15,0,0,0,2,NULL
3009,level badges,1,5,1,36,1,0,3,4,NULL
3009,level badges,1,4,0,12,0,0,1,3,NULL
3009,level badges,1,7,0,31,0,0,4,6,NULL
3009,level badges,1,6,0,20,0,0,3,2,NULL
3009,level badges,1,9,0,45,0,0,3,6,NULL
3009,level badges,1,8,1,122,1,1,4,7,OPT-IN
3009,level badges,3,1,0,14,0,0,1,2,NULL
3009,level badges,3,3,1,122,1,1,8,21,OPT-IN
3009,level badges,3,2,0,25,0,0,4,1,NULL
3009,level badges,3,5,2,64,2,0,6,6,OPT-IN
3009,level badges,3,4,0,15,0,0,2,3,NULL
3009,level badges,3,7,0,0,0,0,1,1,NULL
3009,level badges,3,6,1,99,1,1,12,15,OPT-OUT
3009,level badges,2,1,0,20,0,0,1,2,NULL
3009,level badges,2,3,0,46,0,0,3,6,NULL
3009,level badges,2,2,0,23,0,0,2,3,NULL
3009,level badges,2,5,1,94,1,0,4,13,NULL
3009,level badges,2,4,0,34,0,1,4,6,OPT-IN
3009,level badges,2,7,0,49,0,1,6,4,OPT-IN
3009,level badges,2,6,0,51,0,1,4,5,OPT-IN
3008,level badges,1,1,0,9,0,0,0,1,NULL
3008,level badges,1,3,0,43,0,0,0,6,NULL
3008,level badges,1,2,0,47,0,0,0,3,NULL
3008,level badges,1,5,0,34,0,0,2,2,NULL
3008,level badges,1,4,0,15,0,0,1,4,NULL
3008,level badges,1,7,0,68,0,0,3,12,NULL
3008,level badges,1,6,1,53,1,0,3,3,NULL
3008,level badges,1,9,0,46,0,0,3,4,NULL
3008,level badges,1,8,0,47,0,1,3,3,OPT-IN
3008,level badges,3,1,0,19,0,0,1,2,NULL
3008,level badges,3,2,0,0,0,0,1,0,NULL
3008,level badges,2,1,1,111,1,0,1,4,NULL
3008,level badges,2,3,0,44,0,0,3,1,NULL
3008,level badges,2,2,2,61,2,0,3,4,NULL
3008,level badges,2,5,1,72,1,0,3,4,NULL
3008,level badges,2,4,1,73,1,1,4,5,OPT-IN
3008,level badges,2,7,4,197,4,0,15,7,OPT-OUT
3008,level badges,2,6,2,118,2,0,11,8,OPT-IN
3214,level badges,1,1,1,21,0,0,0,4,NULL
3214,level badges,1,3,1,39,0,0,0,9,NULL
3214,level badges,1,2,1,33,0,0,0,5,NULL
3214,level badges,1,5,6,180,6,0,6,15,NULL
3214,level badges,1,4,1,35,0,0,2,6,NULL
3214,level badges,1,7,0,73,0,0,4,7,NULL
3214,level badges,1,6,0,31,0,0,2,3,NULL
3214,level badges,1,9,1,54,1,0,4,5,NULL
3214,level badges,1,8,1,69,1,0,6,9,OPT-OUT
3214,level badges,3,1,0,16,0,0,1,2,NULL
3214,level badges,3,2,1,10,1,0,0,0,NULL
3214,level badges,2,1,0,26,0,0,1,2,NULL
3214,level badges,2,3,2,40,2,0,2,6,NULL
3214,level badges,2,2,4,308,1,0,8,13,NULL
3214,level badges,2,5,4,144,3,0,12,16,NULL
3214,level badges,2,4,1,53,1,0,4,6,OPT-IN
3214,level badges,2,7,2,119,1,0,11,15,OPT-OUT
3214,level badges,2,6,0,44,0,0,4,6,OPT-OUT
3216,level badges,1,1,6,111,0,0,0,9,NULL
3216,level badges,1,3,8,119,3,0,0,32,NULL
3216,level badges,1,2,5,56,0,0,0,12,NULL
3216,level badges,1,5,12,244,8,0,14,20,NULL
3216,level badges,1,4,5,84,0,0,6,18,NULL
3216,level badges,1,7,10,211,9,0,22,7,NULL
3216,level badges,1,6,10,158,8,0,14,6,NULL
3216,level badges,1,8,4,118,5,0,13,3,OPT-IN
3217,no badges,1,1,2,57,0,0,0,3,NULL
3217,no badges,1,3,3,74,1,0,0,12,NULL
3217,no badges,1,2,2,56,0,0,0,7,NULL
3217,no badges,1,5,5,451,5,0,2,22,NULL
3217,no badges,1,4,1,179,0,0,2,15,NULL
3217,no badges,1,7,4,175,4,0,13,16,NULL
3217,no badges,1,6,0,44,0,0,3,7,NULL
3217,no badges,1,8,3,114,4,0,7,8,NULL
3108,level badges,1,1,2,37,0,0,0,3,NULL
3108,level badges,1,3,3,35,1,0,0,12,NULL
3108,level badges,1,2,3,30,0,0,0,13,NULL
3108,level badges,1,5,6,115,4,0,10,15,NULL
3108,level badges,1,4,2,34,0,0,3,10,NULL
3108,level badges,1,7,7,213,7,0,26,9,NULL
3108,level badges,1,6,2,60,0,0,9,9,NULL
3108,level badges,1,9,0,21,0,0,3,2,NULL
3108,level badges,1,8,0,29,0,0,3,2,OPT-OUT
3108,level badges,3,1,0,14,0,0,1,2,NULL
3108,level badges,3,3,1,8,1,0,0,1,OPT-OUT
3108,level badges,3,2,2,103,1,0,9,11,NULL
3108,level badges,2,1,2,34,0,0,3,12,NULL
3108,level badges,2,3,6,122,4,0,11,22,NULL
3108,level badges,2,2,3,92,0,0,8,15,NULL
3108,level badges,2,5,10,296,6,0,29,27,NULL
3108,level badges,2,4,5,131,3,0,11,14,OPT-OUT
3108,level badges,2,7,0,152,0,0,4,6,OPT-OUT
3108,level badges,2,6,6,212,6,0,16,36,OPT-OUT
3109,no badges,1,1,0,10,0,0,0,1,NULL
3109,no badges,1,3,0,15,0,0,0,5,NULL
3109,no badges,1,2,0,15,0,0,0,2,NULL
3109,no badges,1,5,2,89,2,0,4,5,NULL
3109,no badges,1,4,0,17,0,0,1,3,NULL
3109,no badges,1,7,3,135,2,0,9,5,NULL
3109,no badges,1,6,1,40,1,0,3,4,NULL
3109,no badges,1,9,0,28,0,0,4,4,NULL
3109,no badges,1,8,3,145,2,0,9,6,NULL
3109,no badges,3,1,0,13,0,0,1,1,NULL
3109,no badges,3,3,4,94,3,0,10,5,NULL
3109,no badges,3,2,2,71,1,0,7,9,NULL
3109,no badges,2,1,2,62,0,0,3,3,NULL
3109,no badges,2,3,0,33,0,0,3,3,NULL
3109,no badges,2,2,14,406,10,0,12,9,NULL
3109,no badges,2,5,2,93,2,0,9,6,NULL
3109,no badges,2,4,1,42,1,0,4,3,NULL
3109,no badges,2,7,1,81,1,0,10,12,NULL
3109,no badges,2,6,0,32,0,0,4,6,NULL
3212,no badges,1,1,2,27,0,0,0,3,NULL
3212,no badges,1,3,2,34,0,0,0,11,NULL
3212,no badges,1,2,3,44,0,0,0,11,NULL
3212,no badges,1,5,4,93,2,0,7,9,NULL
3212,no badges,1,4,2,36,0,0,3,8,NULL
3212,no badges,1,7,1,65,0,0,6,8,NULL
3212,no badges,1,6,5,72,4,0,7,7,NULL
3212,no badges,1,9,1,37,1,0,4,4,NULL
3212,no badges,1,8,7,228,7,0,14,17,NULL
3212,no badges,2,1,0,12,0,0,1,1,NULL
3212,no badges,2,3,0,15,0,0,2,3,NULL
3212,no badges,2,2,10,514,5,0,18,24,NULL
3212,no badges,2,5,0,40,0,0,4,7,NULL
3212,no badges,2,4,2,69,2,0,5,5,NULL
3212,no badges,2,6,1,18,1,0,6,8,NULL
3213,no badges,1,1,2,20,0,0,0,5,NULL
3213,no badges,1,3,2,44,0,0,0,9,NULL
3213,no badges,1,2,2,28,0,0,0,5,NULL
3213,no badges,1,5,11,183,11,0,9,8,NULL
3213,no badges,1,4,2,47,0,0,3,6,NULL
3213,no badges,1,7,0,50,0,0,3,7,NULL
3213,no badges,1,6,0,32,0,0,3,3,NULL
3213,no badges,1,9,1,54,1,0,3,5,NULL
3213,no badges,1,8,3,119,3,0,8,8,NULL
3213,no badges,3,1,1,41,1,0,1,1,NULL
3213,no badges,3,3,0,0,0,0,2,3,NULL
3213,no badges,3,2,1,61,0,0,8,7,NULL
3213,no badges,2,1,1,29,0,0,2,3,NULL
3213,no badges,2,3,1,58,0,0,6,7,NULL
3213,no badges,2,2,4,143,2,0,9,17,NULL
3213,no badges,2,5,7,214,7,0,12,5,NULL
3213,no badges,2,4,2,65,1,0,7,6,NULL
3213,no badges,2,7,0,46,0,0,7,7,NULL
3213,no badges,2,6,0,49,0,0,4,5,NULL
3104,level badges,1,1,2,36,0,0,0,3,NULL
3104,level badges,1,3,3,52,1,0,0,19,NULL
3104,level badges,1,2,3,47,0,0,0,13,NULL
3104,level badges,1,5,2,85,0,0,6,9,NULL
3104,level badges,1,4,2,56,0,0,3,13,NULL
3104,level badges,1,7,3,158,1,0,11,25,NULL
3104,level badges,1,6,7,148,5,0,12,18,NULL
3104,level badges,1,9,0,59,0,0,5,5,NULL
3104,level badges,1,8,8,214,8,0,10,19,OPT-OUT
3104,level badges,2,1,5,133,0,0,6,11,NULL
3104,level badges,2,3,0,40,0,0,4,4,NULL
3104,level badges,2,2,24,467,22,0,12,14,NULL
3104,level badges,2,4,1,6,1,0,0,0,OPT-OUT
3105,no badges,1,1,1,14,0,0,0,2,NULL
3105,no badges,1,3,1,32,0,0,0,7,NULL
3105,no badges,1,2,1,27,0,0,0,7,NULL
3105,no badges,1,5,2,100,1,0,5,10,NULL
3105,no badges,1,4,1,31,0,0,2,6,NULL
3105,no badges,1,7,4,162,3,0,14,23,NULL
3105,no badges,1,6,4,93,3,0,8,12,NULL
3105,no badges,1,9,3,70,3,0,5,7,NULL
3105,no badges,1,8,2,96,2,0,9,9,NULL
3105,no badges,2,1,2,65,0,0,3,5,NULL
3105,no badges,2,3,0,55,0,0,4,5,NULL
3105,no badges,2,2,11,598,9,0,16,40,NULL
3105,no badges,2,5,4,90,4,0,20,2,NULL
3105,no badges,2,4,0,41,0,0,7,4,NULL
3106,level badges,1,1,5,41,0,0,0,6,NULL
3106,level badges,1,3,4,44,0,0,0,17,NULL
3106,level badges,1,2,4,55,0,0,0,14,NULL
3106,level badges,1,5,8,170,4,0,16,20,NULL
3106,level badges,1,4,4,57,0,0,5,15,NULL
3106,level badges,1,7,6,272,4,0,21,15,NULL
3106,level badges,1,6,9,178,6,0,18,8,NULL
3106,level badges,1,9,1,79,1,0,8,5,NULL
3106,level badges,1,8,13,429,13,0,30,7,OPT-OUT
3106,level badges,2,1,0,0,0,0,0,0,NULL
3107,no badges,1,1,0,16,0,0,0,2,NULL
3107,no badges,1,3,0,20,0,0,0,6,NULL
3107,no badges,1,2,0,38,0,0,0,10,NULL
3107,no badges,1,5,1,48,1,0,2,4,NULL
3107,no badges,1,4,0,33,0,0,1,5,NULL
3107,no badges,1,7,1,85,1,0,5,10,NULL
3107,no badges,1,6,0,35,0,0,3,4,NULL
3107,no badges,1,9,0,46,0,0,5,4,NULL
3107,no badges,1,8,2,95,2,0,7,10,NULL
3107,no badges,3,1,0,12,0,0,1,1,NULL
3107,no badges,3,3,5,256,4,0,18,7,NULL
3107,no badges,3,2,1,67,0,0,8,10,NULL
3107,no badges,3,5,0,57,0,0,5,7,NULL
3107,no badges,3,4,1,28,1,0,3,4,NULL
3107,no badges,3,6,1,8,1,0,4,3,NULL
3107,no badges,2,1,1,34,0,0,2,2,NULL
3107,no badges,2,3,2,56,1,0,6,7,NULL
3107,no badges,2,2,6,318,4,0,12,28,NULL
3107,no badges,2,5,2,121,0,0,10,9,NULL
3107,no badges,2,4,2,73,1,0,7,6,NULL
3107,no badges,2,7,0,65,0,0,9,5,NULL
3107,no badges,2,6,6,127,6,0,15,6,NULL
3101,level badges,1,1,1,15,0,0,0,2,NULL
3101,level badges,1,3,1,20,0,0,0,9,NULL
