Chapter,Level,playTime,deaths,badgesEarned,anglesUnlocked,playCount,steps
2,1,18.81481481,2,0,79,81,125
2,2,25.81395349,151,0,338,266,632
2,3,26.725,25,0,188,84,234
2,4,31.75,79,10,288,132,204
2,5,41.13513514,93,0,391,149,279
2,6,37.14285714,56,9,289,94,234
2,7,49.42307692,21,5,236,52,198
