Chapter,Level,playTime,deaths,badgesEarned,anglesUnlocked,playCount,steps
4,1,13,0,0,2,2,1
4,2,16,0,0,5,2,3
4,3,8,0,1,4,1,1
4,4,36,0,0,6,3,6
4,5,31,0,1,7,1,3
4,6,13,2,0,8,3,7
