subjectId,subjectCond,chapter,level,playCount,playTime,deaths,badgesEarned,anglesUnlocked,steps,badgeDecision
3009,level badges,1,4,1,12,0,0,1,3,NULL
3009,level badges,1,5,2,36,1,0,3,4,NULL
3009,level badges,1,6,1,20,0,0,3,2,NULL
3009,level badges,1,7,1,31,0,0,4,6,NULL
3009,level badges,1,8,2,122,1,1,4,7,OPT-IN
3009,level badges,1,9,1,45,0,0,3,6,NULL
3009,level badges,2,1,1,20,0,0,1,2,NULL
3009,level badges,2,2,1,23,0,0,2,3,NULL
3009,level badges,2,3,1,46,0,0,3,6,NULL
3009,level badges,2,4,1,34,0,1,4,6,OPT-IN
3009,level badges,2,5,2,94,1,0,4,13,NULL
3009,level badges,2,6,1,51,0,1,4,5,OPT-IN
3009,level badges,2,7,1,49,0,1,6,4,OPT-IN
3009,level badges,3,1,1,14,0,0,1,2,NULL
3009,level badges,3,2,1,25,0,0,4,1,NULL
3009,level badges,3,3,2,122,1,1,8,21,OPT-IN
3009,level badges,3,4,1,15,0,0,2,3,NULL
3009,level badges,3,5,3,64,2,0,6,6,OPT-IN
3009,level badges,3,6,2,99,1,1,12,15,OPT-OUT
3009,level badges,3,7,1,0,0,0,1,1,NULL
3011,level badges,1,1,1,5,0,0,0,2,NULL
3011,level badges,1,2,1,10,0,0,0,2,NULL
3011,level badges,1,3,1,19,0,0,0,5,NULL
3011,level badges,1,4,1,48,0,0,2,3,NULL
3011,level badges,1,5,3,52,3,0,4,6,NULL
3011,level badges,1,6,8,68,8,0,8,1,NULL
3011,level badges,1,7,1,29,0,0,3,2,NULL
3011,level badges,1,8,3,58,2,0,8,1,OPT-IN
3011,level badges,1,9,2,44,1,0,6,2,NULL
3011,level badges,2,1,1,21,0,0,1,1,NULL
3011,level badges,2,2,10,200,9,0,5,43,NULL
3011,level badges,2,3,2,55,1,0,6,11,NULL
3011,level badges,2,4,3,14,3,0,0,0,OPT-OUT
3013,level badges,1,1,1,14,0,0,0,1,NULL
3013,level badges,1,2,1,8,0,0,0,1,NULL
3013,level badges,1,3,1,9,0,0,0,3,NULL
3013,level badges,1,4,1,12,0,0,1,2,NULL
3013,level badges,1,5,1,16,0,0,2,3,NULL
3013,level badges,1,6,1,13,0,0,3,1,NULL
3013,level badges,1,7,1,22,0,0,3,1,NULL
3013,level badges,1,8,1,22,0,1,4,1,OPT-IN
3013,level badges,1,9,3,36,0,0,3,1,NULL
3013,level badges,2,1,1,15,0,0,1,1,NULL
