Chapter,Level,playTime,deaths,badgesEarned,anglesUnlocked,playCount,steps
1,1,13.15686275,0,0,0,120,159
1,2,12.41176471,0,0,0,129,349
1,3,14.74509804,24,0,0,141,544
1,4,15.1372549,4,0,117,119,357
1,5,30.21568627,153,0,305,254,528
1,6,25.35294118,108,0,308,192,306
1,7,42.08,138,0,518,204,552
1,8,35.9,110,12,366,160,317
1,9,32.58695652,25,0,206,74,186
