Chapter,Level,playTime,deaths,badgesEarned,anglesUnlocked,playCount,steps
3,1,17.24,1,0,28,28,33
3,2,21.80952381,21,0,146,57,100
3,3,46,43,5,216,81,158
3,4,26.75,11,0,67,28,45
3,5,39.125,27,2,88,47,85
3,6,38.16666667,17,3,106,30,87
3,7,27,9,0,53,19,43
3,8,119,6,2,79,14,44
